Modelo,MAPE (%),RMSE
Media móvil (baseline),6.130177806638231,222.47323496946274
"SARIMA(1,1,1)(1,1,1,12)",9.274630486812695,365.3976651660615
Prophet,9.316944557423794,365.2154158969377
Holt-Winters (aditivo),9.671180768502706,376.89882258649345
